slug,name,name_zh,source_url,entity_id,method,confidence,matched_label,matched_description
ruben-santos-gato-alves-dias,Rúben Santos Gato Alves Dias,鲁本·迪亚斯,https://www.wikidata.org/wiki/Q21621168,Q21621168,wikidata-zh-label,high,鲁本·迪亚斯,Portuguese footballer (born 1997)
dayot-upamecano,Dayot Upamecano,达约特·乌帕梅卡诺,https://www.wikidata.org/wiki/Q20723878,Q20723878,wikidata-zh-label,high,達約特·烏帕梅卡諾,French footballer (born 1998)
jonathan-tah,Jonathan Tah,约纳坦·塔,https://www.wikidata.org/wiki/Q14640027,Q14640027,wikidata-zh-label,high,约纳坦·塔,German footballer (born 1996)
marcos-aoas-correa,Marcos Aoás Corrêa,马尔基尼奥斯,https://www.wikidata.org/wiki/Q39230,Q39230,wikidata-zh-label,high,马尔基尼奥斯,Brazilian association football player (born 1994)
nico-schlotterbeck,Nico Schlotterbeck,尼科·施洛特贝克,https://www.wikidata.org/wiki/Q62015814,Q62015814,wikidata-zh-label,high,尼科·施洛特贝克,German association football player
gleison-bremer-silva-nascimento,Gleison Bremer Silva Nascimento,格雷森·布雷默,https://www.wikidata.org/wiki/Q38693097,Q38693097,wikidata-zh-label,high,格雷森·布雷默,Brazilian association football player
alessandro-bastoni,Alessandro Bastoni,亚历山德罗·巴斯托尼,https://www.wikidata.org/wiki/Q28561068,Q28561068,wikidata-zh-label,high,亚历山德罗·巴斯托尼,Italian association football player
pau-cubarsi-paredes,Pau Cubarsí Paredes,保·库瓦尔西,https://www.wikidata.org/wiki/Q118473161,Q118473161,wikidata-zh-label,high,保·库瓦尔西,Spanish footballer (born 2007)
marc-cucurella-saseta,Marc Cucurella Saseta,马克·库库雷利亚,https://www.wikidata.org/wiki/Q22082505,Q22082505,wikidata-zh-label,high,马克·库库雷利亚,Spanish association football player
maya-le-tissier,Maya Le Tissier,玛也·拿铁斯,https://www.wikidata.org/wiki/Q61608697,Q61608697,wikidata-zh-label,high,瑪也·拿鐵斯,English footballer
josko-gvardiol,Joško Gvardiol,约什科·格瓦迪奥尔,https://www.wikidata.org/wiki/Q73400656,Q73400656,wikidata-zh-label,high,约什科·格瓦迪奥尔,Croatian footballer (born 2002)
marc-guehi,Marc Guéhi,马克·格希,https://www.wikidata.org/wiki/Q44737396,Q44737396,wikidata-zh-label,high,馬克·格希,Ivorian-English footballer (born 2000)
alejandro-grimaldo-garcia,Alejandro Grimaldo García,亚力斯·格里马尔多,https://www.wikidata.org/wiki/Q921324,Q921324,wikidata-zh-label,high,亞力斯·格里馬爾多,Spanish association football player (born 1995)
eric-garcia-martret,Eric García Martret,埃里克·加西亚,https://www.wikidata.org/wiki/Q59938996,Q59938996,wikidata-zh-label,high,埃里克·加西亞,Spanish association football player
ruben-diogo-da-silva-neves,Rúben Diogo da Silva Neves,鲁本·内维斯,https://www.wikidata.org/wiki/Q17486599,Q17486599,wikidata-zh-label,high,鲁本·内维斯,Portuguese footballer (born 1997)
marcos-llorente-moreno,Marcos Llorente Moreno,马科斯·略伦特,https://www.wikidata.org/wiki/Q21130285,Q21130285,wikidata-zh-label,high,馬科斯·略倫特,Spanish association football player
leah-williamson,Leah Williamson,利亚威廉森,https://www.wikidata.org/wiki/Q18129271,Q18129271,wikidata-zh-label,high,利亞威廉森,English footballer (born 1997)
jules-kounde,Jules Koundé,朱尔·昆代,https://www.wikidata.org/wiki/Q47170176,Q47170176,wikidata-zh-label,high,朱尔·昆代,French footballer (born 1998)
naomi-girma,Naomi Girma,娜欧蜜·吉尔玛,https://www.wikidata.org/wiki/Q97735799,Q97735799,wikidata-zh-label,high,娜歐蜜·吉爾瑪,American soccer player
ezri-konsa,Ezri Konsa,安斯·干沙,https://www.wikidata.org/wiki/Q27063854,Q27063854,wikidata-zh-label,high,安斯·干沙,English footballer (born 1997)
waldemar-anton,Waldemar Anton,瓦尔德马·安东,https://www.wikidata.org/wiki/Q23559699,Q23559699,wikidata-zh-label,high,瓦尔德马·安东,German-Uzbek footballer (born 1996)
vanessa-gilles,Vanessa Gilles,范内莎·吉伊,https://www.wikidata.org/wiki/Q74653712,Q74653712,wikidata-zh-label,high,范內莎·吉伊,Canadian soccer player
giulia-gwinn,Giulia Gwinn,朱莉娅·格温,https://www.wikidata.org/wiki/Q21031698,Q21031698,wikidata-zh-label,high,朱莉娅·格温,German association football player
glodis-perla-viggosdottir,Glódís Perla Viggósdóttir,,https://www.wikidata.org/wiki/Q5394869,Q5394869,unresolved,unresolved,Glódís Perla Viggósdóttir,Icelandic association football player
janina-minge,Janina Minge,亚妮娜·明格,https://www.wikidata.org/wiki/Q22342669,Q22342669,wikidata-zh-label,high,亚妮娜·明格,female german association football player
reece-james,Reece James,里斯·詹姆斯,https://www.wikidata.org/wiki/Q39076401,Q39076401,wikidata-zh-label,high,里斯·詹姆斯,English association football player (born 1999)
gianluca-mancini,Gianluca Mancini,詹卢卡·曼奇尼,https://www.wikidata.org/wiki/Q28973528,Q28973528,wikidata-zh-label,high,詹卢卡·曼奇尼,Italian association football player
aurelien-tchouameni,Aurélien Tchouaméni,奥雷利安·楚阿梅尼,https://www.wikidata.org/wiki/Q46951844,Q46951844,wikidata-zh-label,high,奥雷利安·楚阿梅尼,French footballer (born 2000)
aymeric-laporte,Aymeric Laporte,埃梅里克·拉波尔特,https://www.wikidata.org/wiki/Q3855340,Q3855340,wikidata-zh-label,high,埃梅里克·拉波爾特,Spanish-French footballer (born 1994)
ibrahima-konate,Ibrahima Konaté,伊布拉西马·科纳特,https://www.wikidata.org/wiki/Q30301454,Q30301454,wikidata-zh-label,high,伊布拉西马·科纳特,French footballer (born 1999)
wendie-renard,Wendie Renard,温迪·勒纳尔,https://www.wikidata.org/wiki/Q437048,Q437048,wikidata-zh-label,high,温迪·勒纳尔,French footballer (born 1990)
ingrid-syrstad-engen,Ingrid Syrstad Engen,英格丽·希利斯塔德·恩根,https://www.wikidata.org/wiki/Q61993903,Q61993903,wikidata-zh-label,high,英格麗·希利斯塔德·恩根,Norwegian association football player
eder-gabriel-militao,Éder Gabriel Militão,埃德尔·米利唐,https://www.wikidata.org/wiki/Q29950055,Q29950055,wikidata-zh-label,high,埃德尔·米利唐,Brazilian association football player (born 1998)
trent-alexander-arnold,Trent Alexander-Arnold,特伦特·亚历山大-阿诺德,https://www.wikidata.org/wiki/Q27569376,Q27569376,wikidata-zh-label,high,特伦特·亚历山大-阿诺德,English association football player (born 1998)
taylor-flint,Taylor Flint,,,,unresolved,unresolved,,
steph-catley,Steph Catley,史蒂芬妮·凯特莉,https://www.wikidata.org/wiki/Q7608246,Q7608246,wikidata-zh-label,high,史蒂芬妮·凱特莉,Australian soccer player
jurrien-timber,Jurriën Timber,尤里安·廷伯,https://www.wikidata.org/wiki/Q53952196,Q53952196,wikidata-zh-label,high,尤里安·廷伯,Dutch association football player (born 2001)
piero-hincapie,Piero Hincapié,皮耶罗·欣卡皮耶,https://www.wikidata.org/wiki/Q101053044,Q101053044,wikidata-zh-label,high,皮耶罗·欣卡皮耶,Ecuadorian footballer (born 2002)
jade-rose,Jade Rose,杰德·罗斯,https://www.wikidata.org/wiki/Q97759398,Q97759398,wikidata-zh-label,high,杰德·罗斯,Canadian soccer player
matthias-ginter,Matthias Ginter,马蒂亚斯·金特尔,https://www.wikidata.org/wiki/Q129109,Q129109,wikidata-zh-label,high,马蒂亚斯·金特尔,German association football player (born 1994)
david-raum,David Raum,大卫·劳姆,https://www.wikidata.org/wiki/Q28540571,Q28540571,wikidata-zh-label,high,大卫·劳姆,German association football player
min-jae-kim,Min Jae Kim,金玟哉,https://www.wikidata.org/wiki/Q28699707,Q28699707,wikidata-zh-label,review,金玟哉,South Korean association football player (born 1996)
maximilian-mittelstadt,Maximilian Mittelstädt,马克西米利安·米特尔施泰特,https://www.wikidata.org/wiki/Q22998602,Q22998602,wikidata-zh-label,high,马克西米利安·米特尔施泰特,German association football player
willi-orban,Willi Orbán,威利·奥尔班,https://www.wikidata.org/wiki/Q2577379,Q2577379,wikidata-zh-label,high,威利·奥尔班,German Hungarian footballer
magdalena-eriksson,Magdalena Eriksson,玛格达列娜·埃里克森,https://www.wikidata.org/wiki/Q17296474,Q17296474,wikidata-zh-label,review,玛格达列娜·埃里克森,Swedish footballer
nico-oreilly,Nico O'Reilly,尼科·奥赖利,https://www.wikidata.org/wiki/Q118645253,Q118645253,wikidata-zh-label,high,尼科·奥赖利,English footballer (born 2005)
amir-rrahmani,Amir Rrahmani,阿米尔·拉赫马尼,https://www.wikidata.org/wiki/Q16147481,Q16147481,wikidata-zh-label,high,阿米爾·拉赫馬尼,Kosovar footballer (born 1994)
manuel-akanji,Manuel Akanji,曼努尔·阿坎杰,https://www.wikidata.org/wiki/Q19938984,Q19938984,wikidata-zh-label,high,曼努尔·阿坎杰,Swiss association football player
evan-ndicka,Evan Ndicka,埃万·恩迪卡,https://www.wikidata.org/wiki/Q28971436,Q28971436,wikidata-zh-label,high,埃万·恩迪卡,Ivorian-French footballer (born 1999)
maria-mendez-fernandez,María Méndez Fernández,玛丽亚·门德斯,https://www.wikidata.org/wiki/Q97749348,Q97749348,wikidata-zh-label,high,玛丽亚·门德斯,Spanish association football player
lauren-eduarda-leal-costa,Lauren Eduarda Leal Costa,,https://www.wikidata.org/wiki/Q97761102,Q97761102,unresolved,unresolved,Lauren,Brazilian footballer (born 2002)
inigo-martinez-berridi,Iñigo Martínez Berridi,伊尼戈·马丁内斯,https://www.wikidata.org/wiki/Q1028020,Q1028020,wikidata-zh-label,high,伊尼戈·马丁内斯,Spanish association football player
roger-ibanez-da-silva,Roger Ibañez da Silva,罗热·伊巴涅斯,https://www.wikidata.org/wiki/Q55363875,Q55363875,wikidata-zh-label,high,罗热·伊巴涅斯,Brazilian footballer (born 1998)
lewis-hall,Lewis Hall,路易斯·贺尔,https://www.wikidata.org/wiki/Q110487162,Q110487162,wikidata-zh-label,high,路易斯·賀爾,English association football player (born 2004)
griedge-mbock,Griedge Mbock,格丽奇·姆博克·巴蒂,https://www.wikidata.org/wiki/Q3116598,Q3116598,wikidata-zh-label,high,格丽奇·姆博克·巴蒂,French footballer
ashley-lawrence,Ashley Lawrence,阿什莉·劳伦斯,https://www.wikidata.org/wiki/Q15727786,Q15727786,wikidata-zh-label,review,阿什莉·劳伦斯,Canadian soccer player
olga-carmona-garcia,Olga Carmona García,奥尔加·卡莫纳,https://www.wikidata.org/wiki/Q78535734,Q78535734,wikidata-zh-label,high,奧爾加·卡莫納,Spanish association football player
denzel-dumfries,Denzel Dumfries,丹佐·邓弗里斯,https://www.wikidata.org/wiki/Q19882816,Q19882816,wikidata-zh-label,high,丹佐·邓弗里斯,Dutch association football player (born 1996)
antonio-rudiger,Antonio Rüdiger,安东尼奥·吕迪格,https://www.wikidata.org/wiki/Q96755,Q96755,wikidata-zh-label,high,安东尼奥·吕迪格,German association football player (born 1993)
pedro-antonio-porro-sauceda,Pedro Antonio Porro Sauceda,佩德罗·波罗,https://www.wikidata.org/wiki/Q44080929,Q44080929,wikidata-zh-label,high,佩德罗·波罗,Spanish footballer (born 1999)
emily-sonnett,Emily Sonnett,艾蜜莉·索尼特,https://www.wikidata.org/wiki/Q21207974,Q21207974,wikidata-zh-label,high,艾蜜莉·索尼特,American soccer player
matheus-luiz-nunes,Matheus Luiz Nunes,马特乌斯·努内斯,https://www.wikidata.org/wiki/Q96211488,Q96211488,wikidata-zh-label,high,马特乌斯·努内斯,Portuguese footballer (born 1998)
warren-zaire-emery,Warren Zaïre-Emery,沃伦·扎伊尔-埃梅里,https://www.wikidata.org/wiki/Q111280241,Q111280241,wikidata-zh-label,high,沃伦·扎伊尔-埃梅里,French footballer (born 2006)
david-hancko,Dávid Hancko,达维德·汉茨科,https://www.wikidata.org/wiki/Q23771427,Q23771427,wikidata-zh-label,high,达维德·汉茨科,Slovak association football player
joao-pedro-cavaco-cancelo,João Pedro Cavaco Cancelo,若昂·坎塞洛,https://www.wikidata.org/wiki/Q6298063,Q6298063,wikidata-zh-label,high,若昂·坎塞洛,Portuguese footballer (born 1994)
niamh-charles,Niamh Charles,尼娅姆·查尔斯,https://www.wikidata.org/wiki/Q29860179,Q29860179,wikidata-zh-label,high,尼娅姆·查尔斯,English footballer
carolin-simon,Carolin Simon,卡洛琳·西蒙,https://www.wikidata.org/wiki/Q1044359,Q1044359,wikidata-zh-label,high,卡洛琳·西蒙,German association football player
sara-doorsoun,Sara Doorsoun,萨拉·杜尔松,https://www.wikidata.org/wiki/Q1120565,Q1120565,wikidata-zh-label,high,萨拉·杜尔松,German footballer
maxence-lacroix,Maxence Lacroix,马克桑斯·拉克鲁瓦,https://www.wikidata.org/wiki/Q60286976,Q60286976,wikidata-zh-label,high,马克桑斯·拉克鲁瓦,French footballer (born 2000)
eva-maria-navarro-garcia,Eva María Navarro García,埃娃·纳瓦罗,https://www.wikidata.org/wiki/Q55443390,Q55443390,wikidata-zh-label,high,埃娃·纳瓦罗,Spanish association football player
maelle-lakrar,Maëlle Lakrar,梅勒·拉克拉尔,https://www.wikidata.org/wiki/Q50989371,Q50989371,wikidata-zh-label,high,梅勒·拉克拉尔,French association football player
paula-fernandez-jimenez,Paula Fernández Jiménez,,https://www.wikidata.org/wiki/Q97730958,Q97730958,unresolved,unresolved,Paula Fernández,Spanish association football player
danilo-luis-helio-pereira,Danilo Luís Hélio Pereira,达尼洛·佩雷拉,https://www.wikidata.org/wiki/Q766289,Q766289,wikidata-zh-label,high,达尼洛·佩雷拉,Portuguese association football player
kalidou-koulibaly,Kalidou Koulibaly,高列巴尼,https://www.wikidata.org/wiki/Q3192187,Q3192187,wikidata-zh-label,high,高列巴尼,Senegalese-French footballer (born 1991)
